,OriginalTweet,Sentiment
1270,stockpile australia thing happen singapore 6 week ago everyone realise world go end alassupermarket shelf back normal keep calm dont mix large crowd carry covid19,nan
1271,thank healthcare workers firefight polic janitor grocery store staff ever chance can work home hoard toilet paper mask ampclorox wipe cannot they go itwhen need help covid19 washyourhand,nan
1272,insight take ive read covid19 we demand food system social way pathogen danger kept emerg first place require reindeer food product need rural commun first,nan
1273,everyone stock food coronapocalyps coronaoutbreak ohiocoronaviru covid19 coronavirusmichigan covid19 fridayfeel fridaythought selfish coronavirusinkenya share do retweet,nan
1274,experi grocery store morn make serious rethink childhood love supermarket sweep covid19,nan
1275,gopchairwoman realdonaldtrump nine maam state amp local govern step up corpore step up group pretend didnt exist call hoax shame foreign alli refuse accept test kit who,nan
1276,bean toilet roll supermarket today see thought process covid19,nan
1277,whorehouse use stateofemerg address nation shill ceo corpore stock price pump up panicky covid19 coronaoutbreak covid19 fridaythe13th coronaviruspandem donaldtrump fridaymotiv break couid,nan
1278,matter mani time tell u keep am distance cough elbow tissue peopl still cough place lick a wait line grocery store is buy toilet paper lolconfus coronavirusquebec covid19,nan
1279,omg really talk oil price sorry ill stop scream now covid19,nan
1280,bought enough essential surviv 2 week normal behaviour idiot act like rabid aim buy everyth hoard rebel insane price horrible peopl suh covid19 coronapocalyps,nan
1281,covid19 buon plague peopl need really calm stop panic buy food shortage peopl moan food shop im like well response suck up,nan
1282,alright yall seriou question whole coronaviru covid19 outbreak affect economic bad way espect local showbusi owner yall think property owner lower rent leas price since busi well,nan
1283,netherlands export 70 produce food tiny country could feed euros dutch citizen pleas need panic empty shelf hamster coronaviru covid19,nan
1284,real time grocery store report soap plenty toilet paper none covid19,nan
1285,grocery store hamilton stock rice bean pasta bread full stock asian noodle hysteria real canada covid2019 panicky,nan
1286,toilet paper local supermarket bought kitchen roll saw juan sheet becom two covid19,nan
1287,everyone grocery store covid19,nan
1288,hoh spaghetti panic buy san diego grocery store leaf lot empty shelf covid19 coronaviru can,nan
1289,grocery store insane busi right now covid19 coronaviruspandem,nan
1290,tip germaphobe get shop home supermarket wipe can bottle amp package dettol wipe your welcome covid19,nan
1291,kid husband laugh last week start stock food medicine clean supply ran grocery treat share school open amp state noth werescrew coronaoutbreak covid19 covid19,nan
1292,stop shop online deadly coronaviru,nan
1293,covid19 hamsterkaeuf go titan friend spent 48 minut line grocery store today report told woman child shall go first also hand free water,nan
1294,normal grocery store shop today suck im go look like one crazy peopl stock coronapocalyps im go live doritos mountain next month covid19 lockdown apocalypsparti,nan
1295,good must buy deal you get recommend instant hand saint aster rs198 shop shop onlineshop save coronaviru staysail discount deal offer coronaoutbreak coronavirusinindia stayhealthi fridayvib,nan
1296,rise stock sector consume durable best perform consume durable gun manufacture panicky covid19,nan
1297,imagin thing teamviewerhelp trip price last night £1190 it £3190 covid19uk covid19,nan
1298,look store food stock peopleto socialdistanc everyth deliv coronaviru,nan
1299,peopl panic buy im panic plan took full inventory food fridge freezer amp pantry im meal plan breakfast lunch amp dinner family 4 next two week ask were eat 8 day now covid19,nan
1300,republican everyth make u ruler drug price health cost etc it gotta done covid19,nan
1301,babymoon online still lag behind younger gene come online shop may chang coronaviru onlineshop,nan
1302,digit era mani job done remote stanhope keep work time polish digitalskil get info covid19 flattenthecurv,nan
1303,see empty shelf local grocery store compare other seemingly touch shelf could category junk made realize public health crisis like covid19 fundament chang habit behavior,nan
1304,2020 far climat amp ecology breakdown minor youth attack govern couid 19 rich hoard food necessary supply healthcare deny stock market fall feel like were live dystopian novel,nan
1305,comedy show grocery store wait online guarantee pack hous divorcediariesshow comedy covid19,nan
1306,friendly remind courteous retail worker interact today day come tension high mani folk stress tri sweet nice instead espect grocery store they go lot covid19,nan
1307,shortage local supermarket hoard coronaviru covid19 trumpviru bleachricepap good,nan
1308,want get money hand peopl quickly amp office let full money earn approve patrol tax cut end year decent 31 someth really meaning make big differ,nan
1309,read take care unpeeled time coronaoutbreak coronaviru heart go suffer amp love one peopl cant stock food alon let stay touch social medium best wish,nan
1310,kid never imagin hour play pacman would come handi shop grocery store coronarvirusitalia coronaviru covid19 covid19,nan
1311,never import support peopl mentalhealth dorset covid19 increase online shop easyfundrais turn shop free don't follow link covid2019uk,nan
1312,yesterday went costco store stumble across coupl load pickup pile lysol wipe hit local costco daily clear shelf wipesliquid cleaner rebel amazon via torontostar,nan
1313,secure guard mini handsanitis citycentr supermarket lucky enough get two hurry almost guiltily selfcheckout cut level chao covid19,nan
1314,heard someon grocery store say like bad snowstorm like time 1000 know she wrong coronaviru covid19,nan
1315,awesome speakerpelosi negate coronaviru package include 2 week paid sick leav 3 month paid family'd leav enhance employ benefit free covid19 test admit food aid fever fund medicaid,nan
1316,take break quarantine go buy food supermarket see someon know covid19 najwakaram,nan
1317,would good time stock hous food item water essential cash too world ready coronavirusupd covid19,nan
1318,hithaherzog explain scammer take advantage public fear amid covid19,nan
1319,these shelf supermarket feel like apocalypse movi set covid19 lockdown coronaoutbreak coronaviru,nan
1320,surviv grocery store abl get stuff list toilet paper claro wipe can chicken noodle soup found help elderly man unsuccessfullyconfus look to are peopl weird covid19,nan
1321,brentjsteele1 toilet paper entir gone grocery store poor elderly man look none found paper towel gone too also notice chicken noodle soup gone,nan
1322,social isol economy failure whether virus cover up damage done medium driven fear expect outcome due covid19 pic grocery store lie belgiumlockdown difficult time expat belgium sudhirchaudhari,nan
1323,know who hold toilet paper it grandma ive never seen line like supermarket befor stretch way back far corner store covid19 coronaoutbreak panicky,nan
1324,valley continue feel economy imply work overtime meet increase demand food assist report detail,nan
1325,lsarsour cant find toilet paper local supermarket buy lsarsour book antisemit covid19,nan
1326,really scare wake impede check news wonder latest number are time aliv yesterday line peopl wrap around regular grocery store im scare esp work healthcare covid19,nan
1327,cough really bad your line grocery store covid19,nan
1328,panic home town buffalo run paper towel toilet paper top supermarket elmwood encore covid19 coronaviru,nan
1329,think firstchoiceuk im due fly longhand next week contact directly cancel due coronaviru book directly holiday hypermarket amp first choice thank,nan
1330,hey cvspharmaci seriou ef explain do spot broadway dla store receipt case purchase sat 307 tag price store 313confus despite iller covid19 pricegoug gavinnewsom,nan
1331,it 1happyfacesmiley0 morn im very knock part curious right good time grocery store go grocery other sleep covid19 tandem,nan
1332,guy lysol torontostar dougquan sicken peopl tri make money tandem,nan
1333,serious airline spawn satan safe covid2019 go place give away price city lock already cant really travel tho hahaha airline discount chooses,nan
1334,pleas stop shame folk stock food person care product face made clear care help protect family way one small bit master control terrific time,nan
1335,never underestim girl solid deep lung your fight last item frenzy supermarket covid19,nan
1336,effort carry disadvantage commun quarantine sure mani family stock pile food medic 2 4 week put info help thank,nan
1337,preside declare nation emerg prove roll parade busi rep ramble becom energy indeed boast take advantage drop oil price word coronapocalyps covid19,nan
1338,were pick covid19 surviv team im choose aldous cashier store empty around mass panic sit calm af scan grocery like they go lamp retail checkout,nan
1339,friendly remind fast spread covid19 great opportune check privilege bail work home still earn salary privilege abl afford stock food person care item just case privilege,nan
1340,friend sent pictur local grocery store switzerland wave panic buy due coronaviru spread covid19,nan
1341,new local supermarket today romania similar thing happen back uk floor sever place around store plu hand saint station way in covid19 coronaviru coronaoutbreak ukcoronaviru,nan
1342,entrance supermarket romania coronaoutbreak covid19 ukcoronaviru,nan
1343,usual stock saint like doomsday week ago decide le germaphobe bad timingadventur online shop lik find hidden stash ny walmart shame id rather buy i shit wood brand coronaviru,nan
1344,wifey went grocery store coupl hour ago cheerio can food deplete lemon new territory covid19 coronaviruspandem panicky,nan
1345,cannot decide smartest person grocery store dumbest panicshopp covid19,nan
1346,went grocery store highland farmsconfus still quit bit food toilet paper clean supply least wont start coronaviru covid19canada toronto,nan
1347,best thing right spread compass everyone stress anxious make effort say someth nice grocery store clerk reach friend online compliment stranger outfit etc that wash fuck hand covid19,nan
1348,went bought bunch food today im worry covid19 im healthcare worker go work need lunch peopl go crazy seem like two response make joke panic neither correct,nan
1349,get corona virus mail online shop covid19,nan
1350,seen yall stock isl empty supermarket will don't item homeless shelter low resource look one noth espect le fortune covid19,nan
1351,walk grocery store carton milk ever soccer mom america roll two shop cart full nonperish toilet paper covid19,nan
1352,friend almost got shot grocery store bare got stamped human prove threat virus peopl need come toget fight other coronaviruspandem covid19 panicky,nan
1353,shopprsdrugmart hike price almost 300 regular price toilet paper amid covid19 tandem pretty sleazy busi ask me,nan
1354,roxetera think everybody im go crazy stay safe better stock food avoid couid 19,nan
1355,dont know scare go grocery store today i virus expos peopl badass kid covid19 coronapocalyps,nan
1356,uncertainty coronaviru continue grow consume becom caution shop public place amp util online shop mean get recess behavioralchang behavioraleconom behavioralsci,nan
1357,oil price collapse week covid19,nan
1358,coronaviru michigan peopl prepare stock food supply case store shelf sever major retail empty nearly empty tissue toilet paper saint wipe,nan
1359,empty shelf long line shopper rush store stock food supply due virus store keep shopper employee safe detail 5 6,nan
1360,suspect coronaviru treatment cure scam pleas report etc learn sign scam here covid19,nan
1361,import update covid19 steal food supermarket yet irelandlockdown peopl already panicky situate dublin south 804 good way spread virus,nan
1362,usa american panic supermarket shelf left empty covid19 coronaviru covid19 coronavirusupd coronavirã¼,nan
1363,netherlands amid covid19 panic peopl wipe supermarket shelf clean everyth dutch really toilet paper toilet paper new twitter celebs toiletpapi coronavirusnederland coronaoutbreak toiletpaperapocalyps,nan
1364,wow there really noth grocery store water bread meat frozen food ton ton empty shelf virus doesnt get start covid19 coronapocalyps,nan
1365,chang price fertile common china since coronaviru spider start upside mainly due constraint lost product ammonia key except sulphur seen biggest jump,nan
1366,psa timeline king mess right now here deal covid19 virus confuse stock food can good bean rice chicken stock etcconfus confuse get reason amount necessary supply stay home 4 week confuse stay ok home 13,nan
1367,flippinkath coronaviru tuna big fear pure money self employ taxi driver go lockdown gov hire u help online shop deliver retail would abl cope within,nan
1368,chao american grocery store 12 march 2020 coronaviru coronaoutbreak covid19,nan
1369,note ever scumbag parasite profit covid19 pickup truck full toiletpap like loblawco right store cash million handout canadian govern cannoli shopprsdrugmart coronaviruscanada,nan
1370,food other antics increase demand food due coronaviru covid19confus outbreak would like don't food pleas visit amazon wish list link below,nan
1371,told sign help get free grocery peopl affect coronaviruspandem atlanta here,nan
1372,footbal stock price fall last month due covid19 coronaviruspandem linkedln look price fall past month,nan
1373,covid19 third destroy tourism whole world fourth one doubt need importantly leav whole world know value stop export know whole world take need cheapest price,nan
1374,critic understand longterm plan horizon involve momentum current exist energy transform mean neither low oil price covid19 interrupt chang path toward decarbonis society,nan
1375,ive gotten four notif hopper morn cheap airfare really good price peopl travel right unless it absolut necessary coronaviru covid19,nan
1376,grocery store montreal usual complet stock coronaviruscanada covid19 coronapocalyps,nan
1377,covid19 time die down peopl don't shopbought panicinduc foodstuff homeless use appreci otherwise fall date consign bin coronaviru panicky,nan
1378,safe haven fail advance market panic continue key risk event today u prelim mom consume sentiment coronavirussa limpopo covid19,nan
1379,shop cart local grocery store ye they inside line look long atm cash well want buy gift card give away stream tonight wors virus panic covid19 coronaviruspandem,nan
1380,kzapponetd cypress story crutch etc continue charge full price close pay worker gov insist fee refund parent ask rakish friend covid19 coronavirusireland,nan
1381,supermarket pack today fridaythe13th lol brooklyn network coronaviru covid19 selfish washyourhand,nan
1382,bernameaden good point similar problem supermarket food deliver suppos leav deliver outside longer deliv carrier bag gonna do dump lot pavement loos covid19 selfish,nan
1383,everyone help love one ensure they safe covid19 pleas dont forget peopl world dont anyon help get basic essential grocery store see elderly person anyon need help help covid19,nan
1384,covid19 protect face masksonlin stock regular price retweeetpleas help coronaviru 2019cov n95mask not facemask covid19 coronavirususa coronavirusitalia coronavirusoutbreak health newspeak viruscorona trump whan health,nan
1385,covid19 get inform amp trust office scientific advice panic discrimin peopl heavily infect area hoard mask food supply also minim spider affect u all one one health stanhope,nan
1386,biggest worry corona africa isnt even direct handshake it motorcycle helmet share pa one person noth one bike carry least 20 peopl day 20 peopl go differ place that one bike,nan
1387,parish came back grocery store nightmare toilet paper wipe water soup pasta mani shelf empty cant rememb there savesomestuffforoth covid19,nan
1388,wait peopl come supermarket toilet paper coronaviru covid19uk coronaoutbreak coronapocalyps covid19 coronaviruspandem,nan
1389,wouldnt wise price hand saint go up die go spend money grave covid19,nan
1390,due covid19 ill cancel postpone person meet shop session done online want well figur yall findomcollegedommebratti,nan
1391,someon block isl grocery store start fake cough theyll make space covid19 coronaviru coronaviruspandem,nan
1392,american stock food covid19 concern rise goldmoneyresearch,nan
1393,pro tip alway take receipt supermarketrestaur keep back pocket save as covid19 coronaviruspandem coronviru,nan
1394,supermarket today touch anyth covid19,nan
1395,coronaviru lockdown effect virus surviv 3 hour airconfus 1 day cardboard love online shop deliveriesconfus 3 day metalconfus stop transmits entir chinastyl lockdown burn exist case coronavirusuk,nan
1396,damn pasta supermarket need use lasagna sheet toilet paper covid19 coronaoutbreak coronavirusuk coronaviru panicky,nan
1397,50 citywide let coronaviru prevent shop were give custom deal employee encourage shop online save big thru monday,nan
1398,tip self protect prevent coronaviru shop online were give custom 50 citywide stay home stay health discount automat apply checkout,nan
1399,prevent coronaviru shop online grassrootscali give custom 50 ever online purchase monday shoponlin shopnow,nan
1400,grocery store line eugen or am put way back store cure along back wall to rice bean coronaviru,nan
1401,im back local grocery store pretty much sum toilet paper section coronaviru fortune stock week ago know peopl go crazy to there unnecessary panic toiletpap,nan
1402,lineup muslim brotherhood run red tomato rancho cucamonga stretch around entir inside prime grocery store covid19 coronapocalyps,nan
1403,lineup smalltown ontario canada grocery store insane tonight covid19,nan
1404,spent 300 grocery store pick shelf and toilet paperconfus sole plan antics multiple overtime shift due critic stay shortage toget flattenthecurv covid19,nan
1405,covid19 coronaviru update netherlands compare yesterday new number thi total infect case 804 190confus number death 10 confuse paid loot supermarket toiletpap milk pasta sure thing it,nan
1406,word day hamster mean hoard stock pile way hamster do hamster stuff cheek food carry burrow much like stubborn dutch well even though necessary all coronavirusupd covid19,nan
1407,love govern like send mix covid19 message pleas work home cost avoid contact neccesary peopl stack food stay home pleas plunder supermarket avoid creat panic cost pleas,nan
1408,your stuck inside due covid19 mayb bit online shop tight mug sip immunitybuild herbal tea from,nan
1409,im go today stock food to hear gone store anyway hardly test no virus struck town see ya month staccato staysail covid19 travel,nan
1410,heb prepare covid19 amp strong posit keep replenish shelf custom panic continue restock shelf encourage prepared stockpile i pleas buy need amp leav neighbor behind you,nan
1411,crazy line shopritestor supermarket corona covid19,nan
1412,gym dirty limit gunship due rain overstock food toilet paper wonder were get fat toget die coronaviruspandem coronaviru corona,nan
1413,iamshafaatali trend seen ever emerg met start covid19 carry induce foreign invest bond flow revers since friend amp bond price fallen past day ob pak em wi,nan
1414,panic purchase covid19 rememb buy extra food supply pet quarantine too,nan
1415,everyone get bit extra stock grocery store yesterday coronaviruscar bepreparednotpanick covid19,nan
1416,unfortune certain peopl make money peopl fearskyrocket price store caus massive shortagestop buy mask peoplein doesnt protect get infect one need arent covid19,nan
1417,covid19 affect nigeria economic oil price fel around 30 per barrel news headline began flow nigerian stock market lost 1 trillion stab since 2016lost 10 value dollar parallel market 1 400,nan
1418,panicky supermarket noon switzerland near geneva hour who declare euros new epicenter covid19 tandem new coronaviru story how,nan
1419,thankfulthursday admit earthwork get u covid19 want make special shout retail work chao keep peace canadian flock grocery store pharmacy grate today,nan
1420,okay well fine today never actual realise mani infect disease expert town offer knowledge amp experts various local spot fu page too covid19,nan
1421,coronoviru show true color greedy amp selfish peopl grocery store one guy got thrown store give coupl 20 pack wipe hoard woman 2 kid panicky covid19 coronaoutbreak ahold,nan
1422,global crisis underway per medium stock market plummet oil price crash amp coronaviru tandem world need avenge crudeoil covid19 stockmarketcrash2020,nan
1423,im gonna call wrap now anyon need advice stock covid19 apocalypse come do me happi help write grocery list help take stock may need make good fuckin food,nan
1424,buy beer supermarket middl hoard chao man approach me that like idea quarantine covid19 netherlands,nan
1425,husband got back grocery store said overheard two soccer mom bitch expire gummi vitamin upside well face pure coronapocalyps covid19 panicky,nan
1426,apply fore grate abound amp variety food avail you amaz watch shelf restock grocery store virus aint shit compare food shortage live good time covid19 coronaoutbreak coronaoutbreak quarantineandchil,nan
1427,miss market open grocery shop line wrap back store manage loudspeaker tri calm custom toilet paper dream stock stockmarket daythat bbtfamili covid19 coronaoutbreak,nan
1428,anxiety level high covid19 last thing want get scam purchase the cure line right cure ahem alex jonesconfus check retail protect consume thank drop shop retail,nan
1429,base grocery store shelf yesterday cheerio folk remedy covid19,nan
1430,virus attack need stock food supply meanwhile america coronapocalyps covid19 coronaviru,nan
1431,guy pass 14 case beer grocery store thing overflow cart peanut coronaviruspandem priority covid19 coronaviru,nan
1432,nearby grocery store almost frozen fruit complet gone except shit ton frozen mango mangoesaregood covid19 coronapocalyps covid19,nan
1433,rexalldrugstor soooo come pack doublerol toilet paper 160 elgin street store ottawa wildly outrage sum 22 thi see price pack 24 8 better otter covid19,nan
1434,world collapse a stockmarket i human contact decrease i school close i travelban e food price increase i fight sever destin i opportunist joy i gather cancel coronaviruspandem coronaoutbreak covid19 wuhanviru,nan
1435,plu mind amp kind otherrememb peopl food supplypubl transporthealthcar amp service cant work home cope increase workload peopl panic respect them keep country go time crisis covid19,nan
1436,light preside mcrobbi covid19 message march 10 iu surplus close retail store monday march 16 sunday april 5 continue provide service iu depart time,nan
1437,covid19uk got u worry shop buy extra item local foodbank shop one like local tesco tescoantrimcomm check online let tri help everyone stay safe commun covid19,nan
1438,let see long covid19 surviv dublin rental price,nan
1439,saw man buy 350 can tomato tuna pasta beat supermarket worker supermarket empty shelf mad panicky covid19 apocalypse2020,nan
1440,wish peopl level panic concern mo industry food system amp manufacture environment toxin is covid2019,nan
1441,winch front street bois water gone frozen food fly self shop cart full ever lane line medicine cold flu stock,nan
1442,accost grocery store park lot thief rememb keep 6 foot offset also protect virus use shop cart keep away food load vehicle covid2019 coronaoutbreak,nan
1443,supermarket look like supermarket country u current sanction supermarket marketcrash marketcrash2020 covid19 toiletpap toiletpaperapocalyps toiletpapercrisi,nan
1444,coranaviru consume confide tracker week 1 1000consum survey confide behaviour attitude retail rerun regularly update daily first look here retail covid19 consume research,nan
1445,food bank preston run tin product lowlife milk toilet roll covid19 lancaster foodbank,nan
1446,67 day inside hous went market today rome everyone keep least 1 meter distance mani peopl allow enter time wellcome is hope price increase covid19 coronaviru coranavirusitalia,nan
1447,good list stock food possible coronaviru quarantine,nan
1448,ga price lowest they year plot twist everyth want cancel candor allow go covid19 washyourhandstiltheyreclean causetheyredirti,nan
1449,left local supermarket amp it amaz peopl act covid19 im protect public believ might polite angel thi respect right scare use commonsense washyourhand dontgooutsick,nan
1450,break per ga price drop 7 cent lit overnight selfserv outlet regular unload gasoline rang 948 959 cal napoli tripoli covid19 cbcpei,nan
1451,wallstreet covid19 real reason stock market took huge dive sell stock oil price drop low buy bulk market may drop oil price went roof big con job,nan
1452,crazy peopl stock toilet paper food coronaviru coronaoutbreak,nan
1453,went food lion talk manage told would stock paper clean stuff while supplier stock item coronaviruspandem covid19 coronavirusupd covd19 coronaviru coronaoutbreak,nan
1454,imagin fight toilet paper like psychopath go home littl food stock panick buy noth creat hysteria artifice market inflate stock necessary thing like can food water etc coronaviru covid19,nan
1455,ever undue adult stock buy corona stop corona isnt gonna take food clam covid19 coronapocalyps,nan
1456,world come end think it corona virus issue peopl buy everyth market store leav shelf empty that good happen peopl late stock food run coronaviruspandem coronaviru,nan
1457,went grocery store work insane ive never seen anyth like befor covid19 covid19 anyon els see area fox savage,nan
1458,scene grocery store 5 am covid19 covid19 coronaoutbreak toiletpaperapocalyps,nan
1459,face mask stock online euros regular price 03 earpiece limit purchase retweet help coronaviru 2019cov n95mask not facemask covid19 coronavirususa coronavirusitalia coronavirusoutbreak health viruscorona corona news trump,nan
1460,covid19 19 protect face mask online in regular price retweeetpleas help coronaviru 2019cov n95mask not facemask covid19 coronavirususa coronavirusitalia coronavirusoutbreak health newspeak viruscorona trump whan health,nan
1461,two differ email games provide clean supply someth retail store already confuse advise staff stay home ill mention paid sick leav quota commit paid sick leav staff diagnose covid19,nan
1462,german supermarket chang hour response covid19,nan
1463,empty grocery store shelf issue everywher across country state confirm case coronaviru coronaviru coronapocalyps,nan
1464,supermarket woman buy load toilet paper men pizza beer covid19,nan
1465,light tandem move online shop free ship online order pleas coronaviru onlineshop,nan
1466,buy gift certify other may selfquarantin littl online shop pa time keep local busi aliv plu book coronaviru book,nan
1467,go selfquarantin highly recommend support favorit bookstore local andi gibsonsconcord bookerymht wonder gibbon offer online shop cooker place order email pickup coronaviru book,nan
1468,grocery store custom bought cart full grocery went self check out coronapocalyps covid19 peopl go crazy chill eff out,nan
1469,hey idiot demand greater supply price go up buy need enough last 14 year covid19 shoppersdrugmart panicky,nan
1470,favorit mad max origin remark grocery store right panicky coronaviru,nan
1471,call rep today amp demand pa familiesfirst coronaviru bill contain free test 14 day paid sick leav 3 month paid family leav expand employ insure amp food secure medicaid fund life line 202confus 2243121,nan
1472,partner since im immuno compromis could die covid19 let get everyth need hole home 2 week random man supermarket cough u,nan
1473,empty shelf grocery store right now bread cereal pasta full stocketonguestickingoutcheekyplayfulorblowingaraspberri peanut butter can meat can good nature select office underway human clearly lose covid19 coronavirusupd,nan
1474,big supermarket sold need pleas tri local indeed convent store shop local first need busi shoploc enfieldtown covid19 coronaviru jame white,nan
1475,grocery store patron panick calorieconsci rich folk know name brand item stock local popcorn gone settle offhand peanut butter movi theater butter popcorn covid19 thankgodihavetoiletpap,nan
1476,went grocery store lunch shelf empty line long full panic mode hit toronto covid19,nan
1477,coronaviru call sent impede senategop go home weekend tandem america demand pa nancy pelosi tandem bill test treatment food 2022243121 screw mitch o'connell,nan
1478,somehow knew year would shite start notice plan book trip away year realise flight price arent good year away much last year 2020 mean be covid19,nan
1479,onespeedjimmi mani moron think best idea situate go supermarket mass buy lot let complet ignore perfect way virus get wors coronaviru covid19,nan
1480,despite govern assure there need hoard supply supermarket endure long line shopper supermarket staff say alway ran two thing alcohol egg couid covid19 covid19,nan
1481,645am stand queue wait supermarket open get low toilet paper queue doubt im writ thi crazy covid19 crazy,nan
1482,feel local grocery store resemble scene time stop even covid19,nan
1483,american stock food covid19 concern rise covid19 coronaviru,nan
1484,appear admit panic buy loo paper it necessary hoard cat litter dog food rubber glove whi come peopl really isnt necessary covid19,nan
1485,dtfdont touch face dwbhdo wash hand gtfohget flu icymiimmedi cover mouth idiot nano vaccine moment output toilet paper quarantine time smhsanit hand stu stock food wif wear facemask covid19,nan
1486,judge supermarket shelf last month behind replace fuckeverybodyels coronaviru coronaviruspandem covid19uk covid19,nan
1487,were good need bull rush grocery store folk jesu reply i bread life whoever come never hungry again whoever belief never thirsty john 6happyfacesmiley5 not nashville covid19 coronaviru nashvillestrong,nan
1488,jeffwellz hand saint bulk purchase wholesaleconfus retail contact 0558234767 afford price cushion tough time let minim spread covid19,nan
1489,yanai usual covid19 ripoff best mail say rebook free march 31 good or no there catch tri rebook summer flight price offer expense check live price way lower scandal,nan
1490,inflate price pretty sad see panick buyer toilet paper disinfect wipe hoard coronaviruspandem coronaviru covid19 couid,nan
1491,dang peopl control ill tell ya whate store mad nowi stilldunno with toilet paper covid19 far know get run it anyway stay safe yall take recant work tho cuz retail yay,nan
1492,yesterday small town they cancel rodeo liber bullshit today grocery store someon hand eyeball roll way head coronaviru rodeohouston2020 covid19,nan
1493,toilet paper section local supermarket covid19 theplace bringoutyourdead iamnotdeadyet,nan
1494,coronaviru update stay away large crowd everyone go grocery store fight toilet paper covid19canada covid19 toiletpaperplaug,nan
1495,travelzoo offer holiday £33 sad thing normalcy resume theyll hike price tri recoup lost knockoneffectscovid19 covid19,nan
1496,ye blame communist china amp whan covid19 bioweapon oyster leftist u medium fact buy water amp toilet paper like live commun panic creat crisisconfus trust govt save you oop food ho new normal,nan
1497,mani retail store ceo get compliment me seem goal trumppressconfer bet store would love patrol tax cut theyd save ton money would gone worker social secure fund coronaviru,nan
1498,elbow bump new way streamline direct consume busi exposure elbowbump coronapocalyps coronaviru covid19,nan
1499,im total give love confuse 811 operatorsnursesdoctor confuse grocery storeretail worker confuse peopl leadership posit make decis well be guy amaz job let band toget like doe coronaviruscanada coronaviru,nan
1500,lot empty shelf grocery store pleas report despite obvious tension shopper really polite amp civil humansftw covid19 begoodtoeachoth,nan
1501,sell stolen toilet paper mark price would conside black market would a brown market ill day folk no serious allow leav home more covid19,nan
1502,marcushjohnson mean college kid cant afford stock food get test covid19 cripple student loan debt broken healthcare system yeah cant wrap head around theyd extra motive suppo,nan
1503,scene local supermarket safe say coronapocalyps fever reach israel luckily im already stock up friend sent unfortune lucky covid19,nan
1504,plu it true say covid19 announce ministry creat major panic supermarket full full peopl stock food recess,nan
1505,one annoy thing covid19 mandatory lockdown usa closer no ill still work work grocery store essential need peopl even though well almost everyth amp get shipment in,nan
1506,kind employee grocery store thank work tirelessly resist restock inventory aisle make big differ day feel appreci covid19,nan
1507,grocery store employee stay friendly calm crowd sure around today covid19,nan
1508,go cash grocery store ask sweet kid till bo ask pick extra shift come early etc look earnestly amp said whi mani peopl here everyone buy much what go on covid19,nan
1509,plu stock pet food case go cant sick hoard buy enough coronaviru,nan
1510,peopl worry abl tri new ski gear due lockdown worry food supply empty supermarket cake research limit edit toilet paper candy memory 2020 toiletpapercrisi covid19,nan
1511,target toilet paper aisle afternoon regard grocery store also go turn shitty situate covid19,nan
1512,asshole buy toilet paper like essential stock food use fuck towel shower head like real man coronaviru,nan
1513,drive 2 hi away full grocery store covid19,nan
1514,current state local grocery store unreal covid19canada covid19 panicky,nan
1515,rang age ask would take food don't think may deliv elderly answer shop service elderly resist online wif also said email interest help covid19,nan
1516,understand hysteria supermarket even le queue tobacconist covid19,nan
1517,grocery store adventure or wasconfus household cleaner section complet gone coronapocalyps coronaviru coronavirusoutbreak panicky,nan
1518,grocery store adventure meat section fri peopl bought hamburg meat cheap steak lao coronaviru covid19,nan
1519,grocery store adventure almost pasta gone buy fettuccine instead spaghetti horror coronaviru covid19,nan
1520,anyon hear budget pledge help peopl food bank face food result panic buy 16 million peopl face sever hardship come month borisout uk covid19 sirpatrickval,nan
1521,sneeze grocery store stare down spritz quart chanel no 5 that problem covid19,nan
1522,huge news u busi expand new industry manufacture technology state avoid economy paralysis covid19 prof must rethink strictly consume role nation elect year mean idea,nan
1523,new sport espn cover covid19 corona wreak havoc toilet paper scramble local grocery store good luck there safe kind,nan
1524,local supermarket bread milk toilet paper pasta avail come week fun covid19 amsterdam,nan
1525,big thank retail supermarket worker amp nurse there mental subset panic buy rise case show import covid19,nan
1526,panic look like wetware disinfect section grocery store ottawa covid19,nan
1527,russian supermarket paseo center alcohol tissue section covid19,nan
1528,yall full panic mode stock food amp toilet paper tri flee infect area virus time complain folk flee safety country war famine stricken country never allow complain again covid19,nan
1529,potent covid19 coronaviru test consume well luck administer work google 1700 engin test base new workflow,nan
1530,covid19 not ga price look like they straight early is country music video right now could drive moon,nan
1531,went grocery store today pleas someon explain toilet paper bullshit part wash hand avoid crowd understand coronaviruspandem covid19,nan
1532,extra open handsanit amp want use well pleas send nycrelief also need help u keep increase demand food homeless friend homeless covid19 coronaoutbreak coronaviruspandem,nan
1533,walk supermarket today pal laugh wear mask men call corona flirt ugly word leav cashier look cersei gave the mountain septal scene yeah bitch see corona covid19 got,nan
1534,hey everyone dont forget check pet food supply your run low buy soon case retail store start shut covid19 surviv instant ramen cracker pet cant dont panic buy stock if,nan
1535,praise hospita front line emerg staff tandem let forget supermarket staff thrust frontline minimum wage move never expect posit take vitalfoodsuppli covid19 sweetpmac,nan
1536,family need support now veto join other demand rent freez evict foreclosure moratorium emerg food distribute hous paid sick fam leav amp expand employ insure coverage impede end ice active more coronaviru covid19,nan
